subject_id,method,n_measurements,n_exact,mean_abs_pct_error,max_abs_pct_error,worst_measurement,pct_exact
A00-08-4914_A_2025-12-09_12-27-17,avatar,36,36,1.651303744231031e-14,8.515578764719201e-14,volume_cm3,100.0
A00-08-4914_A_2025-12-09_12-27-17,segmentation,38,3,14.545622018589555,113.57321654044893,arm_volume_left_cm3,7.894736842105263
A00-08-4914_A_2025-12-09_12-27-17,slice,32,0,54.028184468939294,291.9863064171349,bicep_circumference_right_cm,0.0
A00-08-4914_B_2025-12-09_12-31-25,avatar,36,36,1.8604000815881966e-14,3.6450535457477465e-13,volume_cm3,100.0
A00-08-4914_B_2025-12-09_12-31-25,segmentation,38,3,15.377831169954579,107.19772111799075,arm_volume_right_cm3,7.894736842105263
A00-08-4914_B_2025-12-09_12-31-25,slice,32,0,54.35804689481753,255.0590605910384,bicep_circumference_left_cm,0.0
A00-09-0254_2025-12-10_10-37-18,avatar,36,36,9.471101115374151e-15,5.700309301216215e-14,surface_area_total_cm2,100.0
A00-09-0254_2025-12-10_10-37-18,segmentation,38,2,11.076002569143354,81.17255200171931,collar_to_scalp_length_cm,5.2631578947368425
A00-09-0254_2025-12-10_10-37-18,slice,32,0,58.321980737098606,290.9313214868882,bicep_circumference_left_cm,0.0
A00-09-0254_2025-12-10_10-38-56,avatar,36,18,0.6704764284260158,3.472925375041476,trunk_length_corrected_cm,50.0
A00-09-0254_2025-12-10_10-38-56,segmentation,38,3,127.62873286664228,2908.01839641124,arm_volume_left_cm3,7.894736842105263
A00-09-0254_2025-12-10_10-38-56,slice,32,0,180.28585842494508,2900.6756895253543,bicep_circumference_left_cm,0.0
A00-09-2104_A_2025-11-19_11-49-31,avatar,36,36,6.571917231760847e-15,3.778846190533061e-14,waist_circumference_cm,100.0
A00-09-2104_A_2025-11-19_11-49-31,segmentation,38,3,17.838219267219692,158.36261667475884,arm_volume_right_cm3,7.894736842105263
A00-09-2104_A_2025-11-19_11-49-31,slice,32,0,60.72241924800064,328.8980985149088,bicep_circumference_right_cm,0.0
A00-09-2104_B_2025-11-19_11-54-21,avatar,36,36,1.1335148943407576e-14,1.9953951503676316e-13,volume_cm3,100.0
A00-09-2104_B_2025-11-19_11-54-21,segmentation,38,3,18.16026657835943,187.83764030688954,arm_volume_right_cm3,7.894736842105263
A00-09-2104_B_2025-11-19_11-54-21,slice,32,0,62.506639439692215,333.49756133032923,bicep_circumference_right_cm,0.0
CanCan011_A_2026-03-10_13-12-57,avatar,36,36,1.6410362023912647e-14,5.904683584073836e-14,bicep_circumference_right_cm,100.0
CanCan011_A_2026-03-10_13-12-57,segmentation,38,3,13.437250406669936,83.51559143431939,collar_to_scalp_length_cm,7.894736842105263
CanCan011_A_2026-03-10_13-12-57,slice,32,0,56.93060478894773,355.65322095211945,bicep_circumference_left_cm,0.0
CanCan011_B_2026-03-10_13-17-36,avatar,36,36,1.4179522480753514e-14,1.704108793817407e-13,volume_cm3,100.0
CanCan011_B_2026-03-10_13-17-36,segmentation,38,3,14.592719137937719,100.74143736916602,arm_volume_left_cm3,7.894736842105263
CanCan011_B_2026-03-10_13-17-36,slice,32,0,56.30778365883155,392.67291154584143,bicep_circumference_left_cm,0.0
CanCan01_A_2025-10-27_11-10-43,avatar,36,36,1.45271843066678e-14,8.506653158180703e-14,surface_area_leg_left_cm2,100.0
CanCan01_A_2025-10-27_11-10-43,segmentation,38,3,27.74969997400007,173.0631985499383,arm_volume_right_cm3,7.894736842105263
CanCan01_A_2025-10-27_11-10-43,slice,32,0,77.22598183284997,376.36635362835005,forearm_circumference_left_cm,0.0
CanCan01_B_2025-10-27_11-22-43,avatar,36,36,1.4980471055270583e-14,2.1682480211461115e-13,volume_cm3,100.0
CanCan01_B_2025-10-27_11-22-43,segmentation,38,3,24.993561488036793,220.31388586743782,arm_volume_right_cm3,7.894736842105263
CanCan01_B_2025-10-27_11-22-43,slice,32,0,70.85940087456011,383.89765026953546,bicep_circumference_right_cm,0.0
CanCan02_A_2025-11-13_11-42-08,avatar,36,36,1.3675980483223375e-14,9.97536442003148e-14,volume_cm3,100.0
CanCan02_A_2025-11-13_11-42-08,segmentation,38,3,12.69304645397482,97.97305715005123,arm_volume_left_cm3,7.894736842105263
CanCan02_A_2025-11-13_11-42-08,slice,32,0,57.18796604103006,337.31427268763423,bicep_circumference_left_cm,0.0
CanCan02_B_2025-11-13_11-50-16,avatar,36,36,1.6266578023200873e-14,8.549330754249385e-14,volume_cm3,100.0
CanCan02_B_2025-11-13_11-50-16,segmentation,38,3,15.33977300233407,112.83771207146978,arm_volume_left_cm3,7.894736842105263
CanCan02_B_2025-11-13_11-50-16,slice,32,0,68.42399536063118,437.78569317210815,bicep_circumference_right_cm,0.0
CanCan08_A_2026-02-04_12-13-30,avatar,36,36,2.1309774537638812e-14,3.205859419210305e-13,volume_cm3,100.0
CanCan08_A_2026-02-04_12-13-30,segmentation,38,3,14.377794687229093,118.77583681810718,arm_volume_right_cm3,7.894736842105263
CanCan08_A_2026-02-04_12-13-30,slice,32,0,56.496121194499715,354.9256005618851,bicep_circumference_right_cm,0.0
CanCan08_B_2026-02-04_12-21-25,avatar,36,36,7.853708034485738e-15,4.702381632699957e-14,volume_cm3,100.0
